valid_time,station,fc_windspd__gfs,fc_gust__gfs,fc_windspd__harmeu,fc_gust__harmeu,fc_windspd__icon,fc_gust__icon,fc_windspd__iconeu,fc_gust__iconeu,fc_windspd__wrfeuh,fc_gust__wrfeuh,fc_winddir_sin__gfs,fc_winddir_cos__gfs,fc_winddir_sin__harmeu,fc_winddir_cos__harmeu,fc_winddir_sin__icon,fc_winddir_cos__icon,fc_winddir_sin__iconeu,fc_winddir_cos__iconeu,fc_winddir_sin__wrfeuh,fc_winddir_cos__wrfeuh,y_speed,y_gust,y_dir_sin,y_dir_cos
2024-11-25 12:00:00,station3402_Holnis,21.3,37.3,13.5,24.9,14.3,25.5,14.4,23.9,20.0,34.2,-0.48480962024633695,-0.8746197071393959,-0.08715574274765794,-0.9961946980917455,-0.4226182617406993,-0.90630778703665,-0.43837114678907746,-0.8987940462991669,-0.46947156278589086,-0.8829475928589269,13.85,23.36,-0.2378554198779622,-0.9713005710050202
2024-11-25 15:00:00,station3402_Holnis,,,13.9,24.6,,,13.0,22.0,,,,,-0.754709580222772,-0.6560590289905073,,,-0.6691306063588582,-0.7431448254773942,,,6.46,13.29,-0.8518183739629722,-0.5238372435967854
2024-11-25 18:00:00,station3402_Holnis,13.3,26.1,11.1,18.7,11.0,18.4,10.4,17.3,10.0,25.6,-0.848048096156426,-0.529919264233205,-0.39073112848927355,-0.9205048534524404,-0.6691306063588582,-0.7431448254773942,-0.6691306063588582,-0.7431448254773942,-0.6293203910498376,-0.7771459614569708,6.96,12.62,-0.7301622766207524,-0.6832737736807991
2024-11-25 21:00:00,station3402_Holnis,,,12.5,21.6,,,11.8,20.9,,,,,-0.5000000000000001,-0.8660254037844386,,,-0.7771459614569706,-0.6293203910498378,,,8.2,17.18,-0.6733996911727045,-0.7392786050796454
2024-11-26 00:00:00,station3402_Holnis,15.9,28.1,12.9,23.8,12.9,22.0,13.0,21.9,11.6,27.9,-0.8571673007021121,-0.5150380749100544,-0.5000000000000001,-0.8660254037844386,-0.7193398003386512,-0.6946583704589973,-0.7193398003386512,-0.6946583704589973,-0.6691306063588582,-0.7431448254773942,7.52,15.48,-0.7198245880301583,-0.6941560072975044
2024-11-26 03:00:00,station3402_Holnis,,,13.0,22.6,,,13.3,22.0,,,,,-0.48480962024633695,-0.8746197071393959,,,-0.6946583704589974,-0.7193398003386511,,,7.76,14.93,-0.6084844593680819,-0.793565789778978
2024-11-26 06:00:00,station3402_Holnis,15.8,28.5,12.3,22.5,13.2,23.7,12.6,22.8,12.0,25.3,-0.8386705679454242,-0.544639035015027,-0.46947156278589086,-0.8829475928589269,-0.6819983600624984,-0.7313537016191706,-0.6819983600624984,-0.7313537016191706,-0.5299192642332048,-0.8480480961564261,7.59,15.42,-0.5522280327438389,-0.833693108914707
2024-11-26 09:00:00,station3402_Holnis,,,15.8,26.6,,,14.3,23.6,,,,,-0.5299192642332048,-0.8480480961564261,,,-0.6293203910498376,-0.7771459614569708,,,8.31,17.2,-0.7503418653150404,-0.6610499868811327
2024-11-26 12:00:00,station3402_Holnis,17.7,26.7,16.5,29.7,16.3,29.2,17.5,29.2,14.6,24.6,-0.8386705679454242,-0.544639035015027,-0.7193398003386512,-0.6946583704589973,-0.754709580222772,-0.6560590289905073,-0.7771459614569706,-0.6293203910498378,-0.8290375725550418,-0.5591929034707466,9.01,19.67,-0.83580736136827,-0.5490228179981321
2024-11-26 15:00:00,station3402_Holnis,,,12.8,26.6,,,14.3,24.3,,,,,-0.5591929034707467,-0.8290375725550418,,,-0.754709580222772,-0.6560590289905073,,,8.3,16.8,-0.6749465546002729,-0.7378666196767684
2024-11-26 18:00:00,station3402_Holnis,10.8,22.0,11.1,19.6,10.9,19.4,10.6,19.3,9.2,19.0,-0.7880107536067221,-0.6156614753256581,-0.4226182617406993,-0.90630778703665,-0.7313537016191703,-0.6819983600624986,-0.7431448254773944,-0.6691306063588581,-0.6156614753256582,-0.788010753606722,5.21,9.81,-0.6467897795104592,-0.7626683296956885
2024-11-26 21:00:00,station3402_Holnis,,,8.5,14.6,,,10.2,16.8,,,,,-0.5000000000000001,-0.8660254037844386,,,-0.7193398003386512,-0.6946583704589973,,,5.74,11.14,-0.50090662536071,-0.8655013302530189
2024-11-27 00:00:00,station3402_Holnis,9.2,20.5,8.2,14.8,9.6,16.0,9.8,16.1,8.5,16.5,-0.848048096156426,-0.529919264233205,-0.4226182617406993,-0.90630778703665,-0.7771459614569706,-0.6293203910498378,-0.7771459614569706,-0.6293203910498378,-0.8090169943749473,-0.5877852522924732,4.87,9.3,-0.5951033494856173,-0.8036491793257797
2024-11-27 03:00:00,station3402_Holnis,,,7.0,14.4,,,7.2,13.3,,,,,-0.46947156278589086,-0.8829475928589269,,,-0.8571673007021121,-0.5150380749100544,,,3.9,8.16,-0.8819623981158995,-0.47131977288211835
2024-11-27 06:00:00,station3402_Holnis,6.4,9.6,5.5,10.1,5.9,10.1,6.0,10.5,7.7,9.1,-0.90630778703665,-0.42261826174069916,-0.6293203910498376,-0.7771459614569708,-0.7313537016191703,-0.6819983600624986,-0.7193398003386512,-0.6946583704589973,-0.6946583704589974,-0.7193398003386511,1.95,4.04,-0.8175471248424729,-0.5758617009854068
2024-11-27 09:00:00,station3402_Holnis,,,5.6,9.6,,,8.7,14.3,,,,,-0.35836794954530043,-0.9335804264972016,,,-0.43837114678907746,-0.8987940462991669,,,2.09,6.2,-0.8235325976284275,-0.5672689491267564
2024-11-27 12:00:00,station3402_Holnis,6.0,9.4,5.6,9.8,5.9,12.4,5.6,12.0,6.8,8.4,0.0871557427476582,-0.9961946980917455,0.4226182617406995,-0.9063077870366499,1.2246467991473532e-16,-1.0,0.06975647374412552,-0.9975640502598242,-0.08715574274765794,-0.9961946980917455,7.49,10.1,0.44963081667887383,-0.8932144919853735
2024-11-27 15:00:00,station3402_Holnis,,,6.3,10.6,,,8.1,13.5,,,,,0.9876883405951378,-0.1564344650402308,,,0.8746197071393959,-0.484809620246337,,,10.16,14.97,0.9920928114279393,0.1255063883354446
2024-11-27 18:00:00,station3402_Holnis,18.5,25.2,19.4,33.5,15.5,26.2,16.5,27.7,16.2,26.2,0.8910065241883679,-0.45399049973954675,0.992546151641322,0.12186934340514749,0.9945218953682733,-0.10452846326765355,0.9702957262759965,-0.24192189559966779,0.9659258262890683,-0.25881904510252085,22.6,36.39,0.986685944207868,0.16263716519488372
2024-11-27 21:00:00,station3402_Holnis,,,18.3,37.1,,,19.5,34.1,,,,,0.8191520442889918,0.573576436351046,,,0.9063077870366499,0.42261826174069944,,,7.79,29.48,0.813506961365528,0.5815551769263388
2024-11-28 00:00:00,station3402_Holnis,20.1,22.9,14.3,28.6,17.9,31.1,17.1,30.0,22.5,35.1,0.6293203910498374,0.7771459614569709,0.4694715627858908,0.882947592858927,0.5446390350150271,0.838670567945424,0.5150380749100542,0.8571673007021123,0.6819983600624985,0.7313537016191705,18.67,28.84,0.17227295782257673,0.9850492515621038
2024-11-28 03:00:00,station3402_Holnis,,,23.2,41.0,,,21.4,37.0,,,,,-0.10452846326765342,0.9945218953682733,,,0.15643446504023087,0.9876883405951378,,,18.67,34.28,-0.34218414541746534,0.9396329126977827
2024-11-28 06:00:00,station3402_Holnis,20.9,32.3,18.6,35.5,17.9,33.7,17.9,32.0,22.1,35.2,-0.06975647374412564,0.9975640502598242,-0.29237170472273716,0.9563047559630353,-0.01745240643728356,0.9998476951563913,0.01745240643728351,0.9998476951563913,-0.01745240643728356,0.9998476951563913,17.38,29.13,-0.6012573237717266,0.7990554615362198
2024-11-28 09:00:00,station3402_Holnis,,,14.3,27.7,,,14.3,26.2,,,,,-0.3255681544571567,0.9455185755993168,,,-0.19080899537654467,0.981627183447664,,,17.41,27.0,-0.6526275224885413,0.7576789009141462
2024-11-28 12:00:00,station3402_Holnis,16.0,23.2,13.7,23.5,13.1,24.0,13.0,22.9,16.9,26.2,-0.24192189559966787,0.9702957262759965,-0.4848096202463369,0.8746197071393959,-0.24192189559966787,0.9702957262759965,-0.19080899537654467,0.981627183447664,-0.24192189559966787,0.9702957262759965,14.64,23.01,-0.6466566589254263,0.7627812041912182
2024-11-28 15:00:00,station3402_Holnis,,,10.9,20.9,,,9.4,16.4,,,,,-0.5150380749100545,0.8571673007021121,,,-0.45399049973954697,0.8910065241883678,,,10.28,16.37,-0.653948926958241,0.7565386975761155
2024-11-28 18:00:00,station3402_Holnis,9.4,16.6,7.5,12.4,8.7,14.5,8.6,14.3,8.2,17.2,-0.27563735581699894,0.9612616959383189,-0.7071067811865477,0.7071067811865474,-0.4694715627858908,0.882947592858927,-0.4848096202463369,0.8746197071393959,-0.12186934340514723,0.9925461516413221,7.93,12.58,-0.8532778802795895,0.5214564785536473
2024-11-28 21:00:00,station3402_Holnis,,,7.0,12.1,,,6.3,12.3,,,,,-0.6018150231520483,0.7986355100472928,,,-0.22495105434386534,0.9743700647852351,,,6.87,10.91,-0.7131281065471798,0.7010337393110506
2024-11-29 00:00:00,station3402_Holnis,5.2,6.7,5.6,9.5,3.3,6.6,3.2,6.7,5.9,5.7,-0.5000000000000004,0.8660254037844384,-0.8746197071393956,0.4848096202463373,-0.8386705679454243,0.5446390350150266,-0.8910065241883679,0.45399049973954664,-0.6018150231520483,0.7986355100472928,5.44,9.52,-0.9643267785343497,0.26471468452196467
2024-11-29 03:00:00,station3402_Holnis,,,4.0,7.1,,,2.9,5.3,,,,,-0.898794046299167,0.4383711467890774,,,-0.9998476951563913,-0.017452406437283498,,,1.58,3.75,-0.8185509474088746,-0.5744339357106558
