valid_time,station,fc_windspd__gfs,fc_gust__gfs,fc_windspd__harmeu,fc_gust__harmeu,fc_windspd__icon,fc_gust__icon,fc_windspd__iconeu,fc_gust__iconeu,fc_windspd__wrfeuh,fc_gust__wrfeuh,fc_winddir_sin__gfs,fc_winddir_cos__gfs,fc_winddir_sin__harmeu,fc_winddir_cos__harmeu,fc_winddir_sin__icon,fc_winddir_cos__icon,fc_winddir_sin__iconeu,fc_winddir_cos__iconeu,fc_winddir_sin__wrfeuh,fc_winddir_cos__wrfeuh,y_speed,y_gust,y_dir_sin,y_dir_cos
2024-11-14 15:00:00,station3529_schausende,,,4.7,11.1,,,6.7,13.2,,,,,-0.8571673007021123,0.5150380749100542,,,-0.8290375725550416,0.559192903470747,,,4.97,8.63,-0.9691879330904619,0.24632245198486943
2024-11-14 18:00:00,station3529_schausende,6.6,13.7,4.9,7.3,4.8,8.4,5.0,8.5,7.4,19.3,-0.9271838545667874,0.37460659341591196,-0.9986295347545738,-0.052335956242944306,-0.8829475928589271,0.4694715627858904,-0.8746197071393956,0.4848096202463373,-0.8571673007021123,0.5150380749100542,8.2,11.32,-0.9950382202392986,0.09949341818939215
2024-11-14 21:00:00,station3529_schausende,,,5.6,9.0,,,4.8,7.8,,,,,-0.992546151641322,0.12186934340514768,,,-0.9205048534524405,0.3907311284892735,,,5.63,8.59,-0.996917333733128,-0.07845909572784468
2024-11-15 00:00:00,station3529_schausende,8.1,20.1,4.7,7.9,5.2,8.6,5.2,8.7,8.0,18.3,-0.945518575599317,0.3255681544571563,-0.9876883405951377,-0.15643446504023104,-0.9563047559630354,0.2923717047227367,-0.945518575599317,0.3255681544571563,-0.9271838545667874,0.37460659341591196,5.87,9.28,-0.9425832164476294,-0.33397137612562144
2024-11-15 03:00:00,station3529_schausende,,,7.9,13.2,,,7.3,12.0,,,,,-0.9925461516413221,-0.12186934340514717,,,-0.9816271834476639,0.1908089953765451,,,10.31,15.34,-0.9983718202161501,0.057041288539892106
2024-11-15 06:00:00,station3529_schausende,10.3,22.8,7.9,14.0,8.3,14.1,7.7,13.8,9.5,23.5,-0.9848077530122081,0.17364817766692997,-0.9925461516413221,-0.12186934340514717,-0.9975640502598243,0.06975647374412522,-0.9998476951563913,0.01745240643728313,-0.9902680687415704,0.13917310096006547,12.53,20.14,-0.9726949236671326,-0.23208745220754823
2024-11-15 09:00:00,station3529_schausende,,,9.5,17.8,,,9.3,15.5,,,,,-0.9998476951563913,-0.017452406437283498,,,-0.9986295347545738,0.052335956242943946,,,11.16,16.45,-0.9984986728582711,-0.05477590985343306
2024-11-15 12:00:00,station3529_schausende,10.3,21.5,7.1,13.8,10.2,18.5,9.8,17.2,13.0,19.0,-0.9902680687415704,0.13917310096006547,-0.981627183447664,-0.1908089953765446,-0.945518575599317,0.3255681544571563,-0.9396926207859083,0.342020143325669,-0.9612616959383188,0.2756373558169994,13.22,18.28,-0.9611172407952254,-0.27614063345725254
2024-11-15 15:00:00,station3529_schausende,,,8.6,14.7,,,8.2,13.7,,,,,-0.9743700647852351,-0.22495105434386525,,,-0.961261695938319,-0.2756373558169989,,,11.11,15.23,-0.952979341517219,-0.30303526963277366
2024-11-15 18:00:00,station3529_schausende,11.5,24.4,9.4,16.4,8.9,16.3,8.9,15.0,11.4,25.1,-0.9455185755993168,-0.32556815445715664,-0.7771459614569706,-0.6293203910498378,-0.882947592858927,-0.46947156278589075,-0.8571673007021121,-0.5150380749100544,-0.882947592858927,-0.46947156278589075,12.01,19.02,-0.9797153897424851,-0.20039399966498642
